year,dhw,site_name
1990,0,Sand Key Shallow
1991,1.53,Sand Key Shallow
1992,0,Sand Key Shallow
1993,0.96,Sand Key Shallow
1994,0,Sand Key Shallow
1995,0,Sand Key Shallow
1996,0,Sand Key Shallow
1997,4.03,Sand Key Shallow
1998,2.11,Sand Key Shallow
1999,1.51,Sand Key Shallow
2000,0.68,Sand Key Shallow
2001,0,Sand Key Shallow
2002,0,Sand Key Shallow
2003,0.5,Sand Key Shallow
2004,1.22,Sand Key Shallow
2005,5.85,Sand Key Shallow
2006,0.14,Sand Key Shallow
2007,6.13,Sand Key Shallow
2008,0.78,Sand Key Shallow
2009,3.2,Sand Key Shallow
2010,3.37,Sand Key Shallow
2011,5.56,Sand Key Shallow
2012,0.75,Sand Key Shallow
2013,0.14,Sand Key Shallow
2014,6.83,Sand Key Shallow
2015,8,Sand Key Shallow
2016,1.79,Sand Key Shallow
2017,1.98,Sand Key Shallow
2018,2.53,Sand Key Shallow
2019,4.19,Sand Key Shallow
2020,4.67,Sand Key Shallow
2021,3.83,Sand Key Shallow
2022,7.2,Sand Key Shallow
2023,18.39,Sand Key Shallow
2024,11.09,Sand Key Shallow
2025,8.51,Sand Key Shallow
1986,0,Rock Key Deep
1987,0.32,Rock Key Deep
1988,0,Rock Key Deep
1989,0.15,Rock Key Deep
1990,0,Rock Key Deep
1991,1.53,Rock Key Deep
1992,0,Rock Key Deep
1993,0.96,Rock Key Deep
1994,0,Rock Key Deep
1995,0,Rock Key Deep
1996,0,Rock Key Deep
1997,4.03,Rock Key Deep
1998,2.11,Rock Key Deep
1999,1.51,Rock Key Deep
2000,0.68,Rock Key Deep
2001,0,Rock Key Deep
2002,0,Rock Key Deep
2003,0.5,Rock Key Deep
2004,1.22,Rock Key Deep
2005,5.85,Rock Key Deep
2006,0.14,Rock Key Deep
2007,6.13,Rock Key Deep
2008,0.78,Rock Key Deep
2009,3.2,Rock Key Deep
2010,3.37,Rock Key Deep
2011,5.56,Rock Key Deep
2012,0.75,Rock Key Deep
2013,0.14,Rock Key Deep
2014,6.83,Rock Key Deep
2015,8,Rock Key Deep
2016,1.79,Rock Key Deep
2017,1.98,Rock Key Deep
2018,2.53,Rock Key Deep
2019,4.19,Rock Key Deep
2020,4.67,Rock Key Deep
2021,3.83,Rock Key Deep
2022,7.2,Rock Key Deep
2023,18.39,Rock Key Deep
2024,11.09,Rock Key Deep
2025,8.51,Rock Key Deep
1986,0,Sand Key Deep
1987,0.32,Sand Key Deep
1988,0,Sand Key Deep
1989,0.15,Sand Key Deep
1990,0,Sand Key Deep
1991,1.53,Sand Key Deep
1992,0,Sand Key Deep
1993,0.96,Sand Key Deep
1994,0,Sand Key Deep
1995,0,Sand Key Deep
1996,0,Sand Key Deep
1997,4.03,Sand Key Deep
1998,2.11,Sand Key Deep
1999,1.51,Sand Key Deep
2000,0.68,Sand Key Deep
2001,0,Sand Key Deep
2002,0,Sand Key Deep
2003,0.5,Sand Key Deep
2004,1.22,Sand Key Deep
2005,5.85,Sand Key Deep
2006,0.14,Sand Key Deep
2007,6.13,Sand Key Deep
2008,0.78,Sand Key Deep
2009,3.2,Sand Key Deep
2010,3.37,Sand Key Deep
2011,5.56,Sand Key Deep
2012,0.75,Sand Key Deep
2013,0.14,Sand Key Deep
2014,6.83,Sand Key Deep
2015,8,Sand Key Deep
2016,1.79,Sand Key Deep
2017,1.98,Sand Key Deep
2018,2.53,Sand Key Deep
2019,4.19,Sand Key Deep
2020,4.67,Sand Key Deep
2021,3.83,Sand Key Deep
2022,7.2,Sand Key Deep
2023,18.39,Sand Key Deep
2024,11.09,Sand Key Deep
2025,8.51,Sand Key Deep
1986,0,Eastern Sambo Shallow
1987,0.34,Eastern Sambo Shallow
1988,0,Eastern Sambo Shallow
1989,0,Eastern Sambo Shallow
1990,0,Eastern Sambo Shallow
1991,1.63,Eastern Sambo Shallow
1992,0,Eastern Sambo Shallow
1993,0.79,Eastern Sambo Shallow
1994,0,Eastern Sambo Shallow
1995,0,Eastern Sambo Shallow
1996,0,Eastern Sambo Shallow
1997,3.66,Eastern Sambo Shallow
1998,2.07,Eastern Sambo Shallow
1999,1.54,Eastern Sambo Shallow
2000,0.69,Eastern Sambo Shallow
2001,0,Eastern Sambo Shallow
2002,0,Eastern Sambo Shallow
2003,0.3,Eastern Sambo Shallow
2004,1.02,Eastern Sambo Shallow
2005,4.66,Eastern Sambo Shallow
2006,0,Eastern Sambo Shallow
2007,4.66,Eastern Sambo Shallow
2008,0.15,Eastern Sambo Shallow
2009,1.33,Eastern Sambo Shallow
2010,2.69,Eastern Sambo Shallow
2011,4.95,Eastern Sambo Shallow
2012,0.73,Eastern Sambo Shallow
2013,0,Eastern Sambo Shallow
2014,5.12,Eastern Sambo Shallow
2015,6.96,Eastern Sambo Shallow
2016,2.52,Eastern Sambo Shallow
2017,1.43,Eastern Sambo Shallow
2018,2.38,Eastern Sambo Shallow
2019,2.91,Eastern Sambo Shallow
2020,4.04,Eastern Sambo Shallow
2021,2.71,Eastern Sambo Shallow
2022,6.04,Eastern Sambo Shallow
2023,17.54,Eastern Sambo Shallow
2024,9.66,Eastern Sambo Shallow
2025,8.39,Eastern Sambo Shallow
1986,0,Western Sambo Shallow
1987,0.34,Western Sambo Shallow
1988,0,Western Sambo Shallow
1989,0,Western Sambo Shallow
1990,0,Western Sambo Shallow
1991,1.64,Western Sambo Shallow
1992,0,Western Sambo Shallow
1993,0.81,Western Sambo Shallow
1994,0,Western Sambo Shallow
1995,0,Western Sambo Shallow
1996,0,Western Sambo Shallow
1997,3.81,Western Sambo Shallow
1998,2.09,Western Sambo Shallow
1999,1.53,Western Sambo Shallow
2000,0.69,Western Sambo Shallow
2001,0,Western Sambo Shallow
2002,0,Western Sambo Shallow
2003,0.46,Western Sambo Shallow
2004,0.87,Western Sambo Shallow
2005,4.78,Western Sambo Shallow
2006,0.14,Western Sambo Shallow
2007,4.87,Western Sambo Shallow
2008,0.44,Western Sambo Shallow
2009,1.5,Western Sambo Shallow
2010,2.97,Western Sambo Shallow
2011,5.16,Western Sambo Shallow
2012,0.74,Western Sambo Shallow
2013,0,Western Sambo Shallow
2014,5.55,Western Sambo Shallow
2015,7.24,Western Sambo Shallow
2016,2.59,Western Sambo Shallow
2017,1.76,Western Sambo Shallow
2018,2.4,Western Sambo Shallow
2019,3.08,Western Sambo Shallow
2020,4.24,Western Sambo Shallow
2021,3.2,Western Sambo Shallow
2022,6.38,Western Sambo Shallow
2023,17.72,Western Sambo Shallow
2024,9.92,Western Sambo Shallow
2025,8.24,Western Sambo Shallow
1986,0,Eastern Sambo Deep
1987,0.34,Eastern Sambo Deep
1988,0,Eastern Sambo Deep
1989,0,Eastern Sambo Deep
1990,0,Eastern Sambo Deep
1991,1.63,Eastern Sambo Deep
1992,0,Eastern Sambo Deep
1993,0.79,Eastern Sambo Deep
1994,0,Eastern Sambo Deep
1995,0,Eastern Sambo Deep
1996,0,Eastern Sambo Deep
1997,3.66,Eastern Sambo Deep
1998,2.07,Eastern Sambo Deep
1999,1.54,Eastern Sambo Deep
2000,0.69,Eastern Sambo Deep
2001,0,Eastern Sambo Deep
2002,0,Eastern Sambo Deep
2003,0.3,Eastern Sambo Deep
2004,1.02,Eastern Sambo Deep
2005,4.66,Eastern Sambo Deep
2006,0,Eastern Sambo Deep
2007,4.66,Eastern Sambo Deep
2008,0.15,Eastern Sambo Deep
2009,1.33,Eastern Sambo Deep
2010,2.69,Eastern Sambo Deep
2011,4.95,Eastern Sambo Deep
2012,0.73,Eastern Sambo Deep
2013,0,Eastern Sambo Deep
2014,5.12,Eastern Sambo Deep
2015,6.96,Eastern Sambo Deep
2016,2.52,Eastern Sambo Deep
2017,1.43,Eastern Sambo Deep
